CO_NCM,NO_NCM_POR,NO_NCM_ING,NO_NCM_ESP,NO_NCM_FRA
32041300,Corantes básicos e suas preparações,Basic dyes and its preparations,Colorantes básicos y sus preparaciones,Colorants basiques et préparations à base de ces
32041400,Corantes diretos e suas preparações,Direct dyes and its preparations,Colorantes directos y sus preparaciones,Colorants directs et préparations à base de ces
32041510,"Corante indigo blue, segundo colour index 73000","Vat blue dye, second colour index 73000","Colorante azul a la tina,  según colour index 73000","Colorant indigo bleu, selon l'indice de couleur 73000"
32041520,Corante dibenzantrona,Dibenzanthrone dye,Colorante dibenzantrona,Colorant dibenzantrona
32041530,"Corante 12,12-Dimetoxidibenzantrona","12, 12-dimethoxybenzanttrone dye","Colorante 12, 12-dimetoxidibenzantrona","Colorants 12, 12 dimetoxidibenzantrona"
32041590,Outros corantes a cuba e suas preparações,Other vat dyes and its preparations,Los demás colorantes a la cuba y sus preparaciones,Autres colorants á baignoire et préparations
32041600,Corantes reagentes e preparações à base desses corantes,Other reagents dye and its preparations,Colorantes reactivos y sus preparaciones,Colorants réactifs et préparations
32041700,Pigmentos e preparações à base desses pigmentos,Pigments and its preparations,Colorantes pigmentarios y sus preparaciones,Pigments et préparations
32041911,Carotenóides,Carotenoids,Carotenoides,Les caroténoïdes
32041912,"Preparações contendo beta-caroteno, ésteres metílico ou etílico do ácido 8'-apo-beta-carotenóico ou cantaxantina, com óleos ou gorduras vegetais, amido, gelatina, sacarose ou dextrina, próprias para colorir alimentos","Preparations c/beta-carotene, etc.to color food","Preparaciones q cont.beta-caroteno, etc.p/colorear alim.","Les préparations contenant du bêta-carotène, etc., des colorants alimentaires"
32041913,Outras preparações próprias para colorir alimentos,Other preparations to color food,Las demás preparaciones p/colorear alimentos,Autres prepartions pour coloriser aliments
32041919,Outras preparações à base de caratenóides,Other preparations with a base of caratenoids,Las demás preparaciones a base de carotenoides,Autres préparations à base de caroténoïdes
32041920,Corantes solúveis em solventes (corantes solventes),Dyes soluble in solvent (solvent dyes),Colorantes solubles en disolventes(colorant.solventes),Colorants solvants
32041930,Corantes azóicos,Azo dyes,Colorantes azoicos,Colorants azoïques
32041990,Outras matérias corantes orgânicas sintéticas e suas preparações,Oth.colouring matter organic synthetic and its prepar.,Las dem.mater.colorantes orgánicas sintét.y sus prepar.,Autres matières colorantes organiques synthétiques et leurs préparations
32042011,"Derivados do ácido 4,4-bis-(1,3,5)triazinil-6-aminoestilbeno-2,2-dissulfônico","4, 4-bis(1, 3, 5)triazinyl-6-amin.-2, 2-disulp.acid der.etc","Derivs.del ácido 4, 4-bis(1, 3, 5)triazinil-6-aminoest.etc","Dérivés de l'acide 4,4-bis (1, 3, 5) triazine-6-aminoest etc."
32042019,"Outros derivados do estilbeno, utilizado em agente avivamente fluorescente",Oth.stilbene deriv.used as fluoresc.brightening agents,"Los dem.deriv.del estilbeno, util.p/el avivado fluoresc.","D'autres dérivés de stilbène, utilisés dans l'agent fluorescent"
32042090,Outros produtos orgânicos sintéticos utilizados em agente avivamente fluorescente,Ot.synt.org.prod.used as fluorescent brightening agents,Los dem.prods.orgán.sintet.util.p/el avivado fluoresc.,Autres produits organiques synthétiques utilisés dans agent fluorescent
32049000,"Outras matérias corantes orgânicas sintéticas, etc.","Other synthetic organic colouring matter, etc.","Las dem.materias colorantes orgánicas sintéticas,  etc.","Autres matières colorantes organiques synthétiques, etc."
32050000,"Lacas corantes; preparações indicadas na Nota 3 do presente Capítulo, à base de lacas corantes",Colour lakes and its preparations,Lacas colorantes y sus preparaciones,Laques colorantes et préparations
32061111,"Pigmentos tipo rutilo, com tamanho médio de partícula superior ou igual a 0,6 micrômetros (mícrons), com adição de modificadores, com adição de modificadores","Rutile pigments particle size of>=0.6 microns, c/modif.","Pigmento rutilo, partícula>=0.6 microns, c/modificadores","Pigment rutile, particules >= 0,6 microns, avec modificateurs"
32061119,"Outros pigmentos tipo rutilo, que contenham, em peso, 80 % ou mais de dióxido de titânio, calculado sobre matéria seca","Oth.rutile pigments, c/titanium dioxide>=80% dried","Los dem.pigmentos tip.rutilo, c/dióxido titanio>=80%seco","D'autres pigments de type rutile, avec le dioxyde de titane > = 80% de matière sèche"
32061120,"Outros pigmentos que contenham, em peso, 80 % ou mais de dióxido de titânio, calculado sobre matéria seca",Ot.pigments containing titanium dioxide>=80% dried,Los dem.pigmentos q conteng.dióxido de titanio>=80%seco,D'autres pigments contenant du dioxyde de titane >= 80% de matière sèche
32061121,"Pigmento anatase, contendo dióxido de titânio >= 80% seco","Anatase pigments, cont.titanium dioxide>=80% dried","Pigmento anatasa, q contenga dióxido de titanio>=80%seco",Pigment anatase contenant du dioxyde de titane >= 80% de matière sèche
32061129,Outros pigmentos contendo dióxido de titânio >= 80% seco,Other pigments containing titanium dioxide>=80% dried,Los dem.pigmentos q conteng.dióxido de titanio>=80%seco,D'autres pigments contenant du dioxyde de titane> = 80% de matière sèche
32061130,"Preparações à base de dióxido de titânio, peso >= 80%","Preparations based on titanium dioxide, weighing>=80%","Preparaciones a base de dióxido de titanio, c/peso>=80%","Préparation à base de dioxyde de titane, poids > = 80%"
32061910,Pigmento constituído por mica revestida película dióxido titânio,Pigment consist.of mica coated w/titanium dioxide,Pigmento const.por mica revest.película dióxido titanio,Pigment comprend un film de mica revêtu de dioxyde de titane
32061990,Outros pigmentos e prepars.à base de dióxido de titânio,Other pigments and prep.with a base of titanium dioxide,Los dem.pigmentos y prepar.a base de dióxido de titanio,D'autres pigments et préparations de dioxyde de titane
32062000,Pigmentos e preparações à base de compostos de cromo,Pigments and preparations based on chromium compounds,Pigmentos y preparaciones a base de compuestos de cromo,Pigments et préparations sur la base des composés du chrome
32063000,Pigmentos e preparações à base de compostos de cádmio,Pigments and preparations based on cadmium compounds,Pigmentos y preparaciones a base de compuests.de cadmio,Pigments et préparations sur la base des composés du cadmium
32064100,Ultramar e suas preparações,Ultramarine and its preparations,Ultramar y sus preparaciones,Outremer et ses préparations
32064210,Litopônio,Lithopone,Litópon,Lithopone
32064290,Outs.pigmentos e preparações à base de sulfeto de zinco,Other pigments and preparations based on zinc sulphide,Los dem.pigmentos y preparac.a base de sulfuro de cinc,D'autres pigments et préparations de sulfure de zinc
32064300,Pigmentos e preparações à base de hexacianoferratos,Pigments and preparations based on hexacyanoferrates,Pigmentos y preparaciones a base de hexacianoferratos,Pigments et préparations à base d'hexacyanoferrates
32064900,Outras matérias corantes e preparações,Other colouring matter and preparations,Las demás materias colorantes y preparaciones,Autres matières colorantes et les préparations
32064910,Pigmentos preparados à base de compostos de cádmio,Pigments prepared based on cadmium compounds,Pigmentos preparados a base de compuestos de cadmio,Pigments préparés à base de composés du cadmium
32064920,"Pigmentos, preparados à base de hexacianoferratos","Pigments, prepared on hexacyanoferrate",Pigmentos preparados a base de hexacianoferratos,"Pigments, préparées à base d'hexacyanoferrates"
32064990,Outras matérias corantes e preparações,Other coloring matter and preparations,Otras materias colorantes y preparados,Autres matières colorantes et les préparations
32065011,"Halofosfatos de cálcio ou de estrôncio, com substância radioativa, utilizado em luminóforos","Calcium halophosp., etc.without subs.rad.used illumin.","Halofosfatos de calcio, etc.c/subst.radioactiv.util.lumi","Halophosphates calcium, etc. avec la substance radioactive utilisée dans luminophores"
32065019,"Outros produtos inorgânicos utilizados em luminóforos, com substância radioativa","Other inorg.prod.used as luminophores, with radioactive substances","Otros prods.inorg.util.luminóforos, c/sust.radioactiv.",Autres produits inorganiques utilisés dans luminophores avec une substance radioactive
32065021,"Halofosfatos de cálcio, etc, sem substância radioativa, utilizado em luminóforos","Calcium halophosp., etc.without subs.rad.used illumin.","Halofosfatos de calcio, etc.s/sust.radioactiv.util.lumin","Halophosphates calcium, etc. sans la substance radioactive utilisée dans luminophores"
32065029,"Outros produtos inorgânicos utilizados em luminóforos, sem substância radioativa","Ot.inorg.prod.used as luminophores, without radioac.sub.","Los dem.prods.inorg.util.luminóforos, s/sust.radioactiv.","Autres produits inorganiques utilisés dans luminophores, sans substance radioactive"
32071010,"Pigmento, opacificante, etc, à base de zircônio/seus sais","Pigment, opacifier, etc.with a basis of zircon./its salts","Pigmento, opacificante, etc.a base de circonio/sus sales","Pigment opacifiant, etc., à base de zirconium/sels"
32071090,"Outros pigmentos, opacificantes/cores, preparados e preparações","Oth.pigments, opacifiers/colors, prepareds and prepareds","Los dem.pigment.pacificantes/colores, preparados y prep.","D'autres pigments, opacifiants/couleur, préparations"
32072010,Engobos,Engobes (slips),Engobes,Engobes
32072090,Composições vitrificáveis e preparações semelhantes,Vitrifiable compounds and similar preparations,Composiciones vitrificables y preparaciones similares,Compositions vitrifiables et préparations similaires
32072091,Composições vitrificáveis e preparações utilizadas na fabricação de circuito impresso,Vitrifiable compounds and preparations circuit impres.,Composiciones vitrif.y prep.util.fabr.circuito impreso,Compositions vitrifiables et préparations utilisées dans la fabrication de circuits imprimés
32072099,Outras composições vitrificáveis e preparações semelhantes,Other vitrifiable compounds and similar preparations,Las dem.composic.vitrificables y preparaciones simil.,D'autres compositions vitrifiables et préparations similaires
32073000,Polimentos líquidos e preparações semelhantes,Liquid lustres and similar preparations,Abrillantadores líquidos y preparaciones similares,Polissage liquides et préparations similaires
32074010,"Fritas de vidro, em pó, em grânulos, em lamelas ou flocos","Glass frit and other glass, in powder, granules or flakes","Fritas de vidrio, en polvo, gránulos, escamillas o copos","Fritte de verre, en poudre, en granulés ou de flocons"
32074090,"Outros vidros em pó, em grânulos, em lamelas ou em flocos",Ot.glass frit and other glass in powder/granules/flakes,"Otros vidrios, en polvo, gránulos, escamillas o copos","Autre verre en poudre, en granulés ou de flocons"
32081010,"Tintas de poliésteres, dispersos/dissolv.meio não aquoso","Paint of polyesters, dispersed/dissolved n/aqueous","Pinturas de poliésteres, dispersos/disuelt.medion/acuoso","Encres polyesters, milieu dispersé / soluble non aqueux"
32081020,"Vernizes de poliésteres, dispersos/dissolvidos em meio não aquoso","Varnishes of polyesters, dispersed/dissolved n/aqueous","Barnices de poliésteres, dispersos/disuelt.medion/acuoso",Vernis polyesters dispersés/dissous dans un milieu non-aqueux
32081030,"Soluções de poliésteres, dispersos/dissolvidos em meio não aquoso","Solutions of polyesters, dispersed/dissolved n/aqueous","Disoluc.de poliésteres, dispersos/disuelt.medio n/acuoso","Des solutions de polyester, dispersés/dissous dans un milieu non-aqueux"
32082010,"Tintas de polímeros acrílicos/vinílicos, dispersos/dissolvidos em meio não aquoso","Paint of acrylic/vinyl polymers, dispersed/dissol.n/aqueous",Tintas de polím.acr./viníl.dispersos/disuelt.n/acuoso,"Encres de polymères acrylique/vinyle, dispersés/dissous dans un milieu non-aqueux"
32082011,"Tintas à base de polímeros acrílicos, dos tipos utilizados para a fabricação de circuitos impressos","Paint of acrylic polymers, for producing printed circuits","Tintas de polímeros acrílicos, para fabricación de circuitos impresos","Encres de polymères acryliques, pour la fabrication de circuits imprimés"
32082019,Outras tintas à base de polímeros acrílicos ou vinílicos,Other paints based on acrylic or vinyl polymers,Otras tintas basadas en polímeros acrílicos o de viníl,D'autres encres à base de polymères acryliques ou vinyliques
32082020,"Vernizes de polímeros acrílicos/vinílicos, dispersos/dissolvidos em meio não aquoso","Varnishes acrylic/vinyl polym., disper./dissol.n/aqueous",Barnices de polím.acríl/vin.dispersos/disuelt.n/acuoso,"Vernis de polymères acrylique/vinyle, dispersés/dissous dans un milieu non aqueux"
32082030,"Soluções de polímeros acrílicos/vinílicos, dispersos/dissolvidos em meio não aquoso","Solutions acrylic/vinyl polym., disper./dissol.n/aqueous",Disoluc.de polím.acríl/viníl.dispersos/disuelt.n/acuoso,"Solutions de polymères acrylique/vinyle, dispersés/dissous dans un milieu non aqueux"
32089010,"Tintas de outros polímeros sintéticos, etc, dispersos/dissolvidos em meio não aquoso","Paint of ot.syn.polymers, etc, dispersed/dissol.n/aqueous","Pinturas de dem.polím.sint.etc, dispers/disuelt.n/acuoso","Encres d'autres polymères synthétiques, etc., dispersés/dissous dans un milieu non aqueux"
32089021,"Vernizes de derivados de celulose, dispersos/dissolvidos em meio não aquoso","Varnishes of cellulose deriv., dispers./dissol.n/aqueous","Barnices de derivs.celulosa, dispersos/disuelt.n/acuoso","Vernis dérivés de la cellulose, dispersés/dissous dans un milieu non aqueux"
32089029,"Vernizes de outros polímeros sintéticos, etc, dispersos/dissolvidos em meio não aquoso","Varnishes of ot.synt.polim.etc, disper./dissol.n/aqueous","Barnices de dem.polím.sint.etc, dispers/disuelt.n/acuoso","Vernis d'autres polymères synthétiques, etc., dispersés/dissous dans un milieu non aqueux"
32089031,"Soluções de silicones, dispersos/dissolvidos em meio não aquoso",Solutions of silicones dispersed/dissolved n/aqueous,"Disoluc.de siliconas, dispersos/disuelt.medio n/acuoso","Silicones solutions, dispersés/dissous dans un milieu non-aqueux"
32089039,"Outras soluções de polímeros sintéticos, etc, dispersos/dissolvidos em meio não aquoso","Oth.polym.synt.solutions, etc, dispers./dissolv.n/aqueous","Las dem.dis.polím.sint.etc, disp/disuelt.medio n/acuoso","D'autres solutions de polymères synthétiques, etc., dispersés/dissous dans un milieu non-aqueux"
32091010,"Tintas de polímeros acrílicos/vinílicos, dispersos/dissolvidos em meio aquoso","Paint acrylic/vinyl polymers, dispersed/dissol.n/aqueous",Pinturas de polím.acríl/viníl.disp/disuelt.medio acuoso,"Encres de polymères acrylique/vinyle, dispersés/dissous dans un milieu aqueux"
32091020,"Vernizes de polímeros acrílicos/vinílicos, dispersos/dissolvidos em meio aquoso",Varnishes of acrylic/vinyl.polim.disper./dissol.aqueous,Barnices de polím.acríl/viníl.dispersos/disuelt.acuoso,"Vernis de polymères acrylique/vinyle, dispersés/dissous dans un milieu aqueux"
32099011,"Tintas de politetrafluoretileno, dispersas/dissolvidas em meio aquoso","Paint of polytetrafluoroethylene, disper./dissol.aqueous","Pinturas de politetrafluoroetileno, disp/disuelt.acuoso",Encres de polytétrafluoroéthylène dispersée/dissoute dans un milieu aqueux
32099019,"Tintas de outros polímeros sintéticos, etc, dispersos/dissolvidos em meio aquoso","Paint of oth.synt.polymers, etc, dispersed/dissol.aqueous",Pinturas de ots.polím.sint.etc.dispersos/disuelt.acuoso,"Encres d'autres polymères synthétiques, etc., dispersés/dissous dans un milieu aqueux"
32099020,"Vernizes de outros polímeros sintéticos, etc, dispersos/dissolvidos em meio não aquoso","Varnishes of oth.synt.polymers, etc, disp./dissol.aqueous",Barnices de ots.polím.sint.etc.dispers/disuelt.acuoso,"Vernis d'autres polymères synthétiques, etc., dispersés/dissous dans un milieu non aqueux"
32100010,"Outras tintas, dos tipos utilizados para acabamento de couros",Other paints,Las demás pinturas,"Autres encres, des types utilisés pour le finissage des cuirs"
32100020,"Outros vernizes, dos tipos utilizados para acabamento de couros",Other varnishes,Los demás barnices,"Autres vernis, des types utilisés pour le finissage des cuirs"
32100030,"Pigmentos a água preparados, dos tipos utilizados para acabamento de couros",Prep.water pigments kind used forfinishing leather,"Pigmentos al agua preparados, utiliz.p/acabado de cuero","Pigments eau préparé, utilisé pour le finissage des cuirs"
32110000,Secantes preparados,Prepared driers,Secativos preparados,Siccatifs préparés
32121000,Folhas para marcar a ferro,Stamping foils,Hojas para el marcado a fuego,Feuilles à marquer par fer
32129010,"Alumínio em pó ou em lamelas, empastado com solvente do tipo hidrocarbonetos, com teor de alumínio superior ou igual a 60 %, em peso","Aluminum in powd., etc, pasted with solvent hidrocarbon","Aluminio en polvo, etc.empastado c/solvente hidrocarb.","La poudre d'aluminium, etc., mis en suspension avec un solvant hydrocarboné"
32129090,"Outros pigmentos dispersos em meios não aquosos, estado líquido, etc.","Oth.pigments, dispersed in non-aqueous, liquid, etc.","Los dem.pigmentos dispers.medios n/acuosos, est.líqu.etc","D'autres pigments dispersés dans des milieux non aqueux, état liquide, etc."
32131000,"Cores em sortidos para pintura artística, atividade educativa, etc.","Colours in sets, forartistic painting, educat.activit, etc","Colores en surtidos, p/pintura artística, enseñanza, etc","Couleurs en assortiments pour la peinture artistique, activité éducative, etc."
32139000,"Outras cores para pintura artística, atividade educativa, etc.","Other colours, forartistic painting, educat.activit, etc","Los demás colores p/la pintura artística, enseñanza, etc","Autres couleurs pour la peinture artistique, activité éducative, etc."
32141010,"Mastique de vidraceiro, cimentos de resinas, outros mastiques","Grafting putty, resin cements, other mastics","Masilla, cementos de resina y demás mástiques","Mastic, ciments de résine, autres mastics"
32141020,Indutos utilizados em pintura,Painters' fillings,Plastes utilizados en pintura,Enduits utilisés en peinture
32149000,Indutos não refratrários dos tipos utilizados em alvenaria,Fillings non-refractory used in masonry,Plastes n/refractarios del tipo utiliz. en ambañilería,Introducteurs pas réfractaire du type utilisé dans la maçonnerie
32151100,"Tintas pretas, de impressão","Black ink, of printing","Tintas negras, de imprenta",Encres noires pour l'impression
32151900,Outras tintas de impressão,"Other  ink, of printing",Las demás tintas de imprenta,Autres encre d'imprimerie
32159000,"Tintas de escrever ou de desenhar e outras tintas, mesmo concentradas ou no estado sólido",Ink od writing or drawing ink and other inks,Tintas p/escribir o dibujar y demás tintas,"Encres pour écrire ou dessiner, et autres encres"
33011100,"Óleo essencial, de bergamota","Essential oil, of bergamot","Aceite esencial, de bergamota",L'huile essentielle de bergamote
33011210,"Óleo essencial, de laranja, de petit grain","Essential oil, of petit grain","Aceite esencial,  de ""petit grain"" de naranja","L'huile essentielle de ""petit grain"" orange"
33011290,"Outros óleos essenciais, de laranja","Other essential oils, of orange","Los demás aceites esenciales,  de naranja","Autres huiles essentielles, orange"
33011300,"Óleo essencial, de limão","Essential oil, of lemon","Aceite esencial, de limón","L'huile essentielle, de citron"
33011400,"Óleo essencial, de lima","Essential oil, of lime","Aceite esencial, de lima",Huile essentielle de citron
33011900,"Óleo essencial, de outros cítricos","Essential oil, of other citric","Aceite esencial, de demás agrios","Huile essentielle, d'autres agrumes"
33011910,Óleos essenciais de lima,"Essential oil, of lime","Aceite esencial, de lima",Huile essentielle de citron
33011990,Outros óleos essenciais de cítricos,"Essential oil, of other citric","Aceite esencial, de otros agrios",Autres huiles essentielles d'agrumes
33012100,"Óleo essencial, de gerânio","Essential oil, of geranium","Aceite esencial, de geranio",L'huile essentielle de géranium
33012200,"Óleo essencial, de jasmim","Essential oil, of jasmin","Aceite esencial, de jazmín",L'huile essentielle de jasmin
33012300,"Óleo essencial, de alfazema ou lavanda","Essential oil, of lavender or of lavandin","Aceite esencial, de lavanda o de lavandín",Huile essentielle de lavande
33012400,"Óleo essencial, de hortelã-pimenta (Mentha piperita)","Essential oil, of peppermint (mentha piperita)","Aceite esencial, de menta piperita (mentha piperita)",Les huiles essentielles de menthe poivrée (Mentha piperita)
33012510,"Óleo essencial, de menta japonesa (Mentha arvensis)","Essential oil, of japanese mint (mentha arvensis)","Aceite esencial, de menta japonesa (mentha arvensis)","Huile essentielle, la menthe japonaise (Mentha arvensis)"
33012520,"Óleo essencial, de mentha spearmint (Mentha viridis L.)","Essential oil,  of ""mentha spearmint""(mentha viridis l)","Aceite esencial, de""mentha spearmint""(mentha viridis l)","Huile essentielle, ""mentha spearmint"" (Mentha viridis l)"
33012590,"Óleo essencial, de outras mentas","Essential oil, of other mints","Aceite esencial, de demás mentas",L'huile essentielle d'autres menthes
33012600,"Óleo essencial, de vetiver","Essential oil, of vetiver","Aceite esencial, de espicanardo (vetiver)","Huile essentielle, vétiver"
33012911,"Óleo essencial, de citronela","Essential oil, of citronella","Aceite esencial, de citronela",L'huile essentielle de citronnelle
33012912,"Óleo essencial, de cedro","Essential oil, of cedar","Aceite esencial, de cedro","L'huile essentielle, le cèdre"
33012913,"Óleo essencial, de pau-santo (Bulnesia sarmientol)","Essential oil, of guaiacum (bulnesia sarmientoi)","Aceite esencial, de palo santo (bulnesia sarmientoi)","L'huile essentielle de ""pau-santo"" (Bulnesia sarmientol)"
33012914,"Óleo essencial, de lemongrass","Essential oil, of ""lemongrass""","Aceite esencial, de lemongrás","Huile essentielle, ""lemongrass"""
33012915,"Óleo essencial, de pau-rosa","Essential oil, of rosewood","Aceite esencial, de palo rosa","Huile essentielle, bois de rose (Aniba rosaeodora)"
33012916,"Óleo essencial, de palma rosa","Essential oil, of palmarosa","Aceite esencial, de palma rosa","L'huile essentielle, le ""palma rosa"""
33012917,"Óleo essencial, de coriandro","Essential oil, of coriander","Aceite esencial, de coriandro",L'huile essentielle de coriandre
33012918,"Óleo essencial, de cabreúva (cabriúva)","Essential oil, of cabreuva","Aceite esencial, de cabreúva","L'huile essentielle de ""cabreúva"" (Myrocarpus frondosus)"
33012919,"Óleo essencial, de eucalipto","Essential oil, of eucalyptus","Aceite esencial, de eucalipto","Huile essentielle, eucalyptus"
33012921,Óleos essenciais de alfazema ou de lavanda,"Other essential oils, of lavender","Otros aceites esenciales, de lavanda",L'huile essentielle de lavande
33012922,Óleos essenciais de vetiver,"Essential oil, of vetiver","Aceite esencial, de espicanardo (vetiver)",Huiles essentielles de vétiver
33012990,Outros óleos essenciais,Other essential oils,Los demás aceites esenciales,D'autres huiles essentielles
33013000,Resinóides,Resinoids,Resinoides,Résinoïdes
33019010,"Soluções concentradas de óleos essenciais em gorduras, em óleos fixos, em ceras ou em matérias análogas, obtidas por tratamento de flores através de substâncias gordas ou por maceração",Concent.of essential oils in fats of treatment of flow.,Disoluc.concentr.de aceites essenciales del tratam.flor,"Solutions concentrées d'huiles essentielles dans les graisses, les huiles fixes, les cires ou matières analogues, obtenues par le traitement des fleurs à travers les corps gras ou macération"
33019020,Subprodutos terpênicos residuais da desterpenação dos óleos essenciais,Terpenic by-prod.of the deterpenation of essent.oils,Subprods.terpénicos resids.de la desterp.aceites esenc.,Sous-produits terpéniques résiduelles de desterpénation des huiles essentielles
33019030,Águas destiladas aromáticas e soluções aquosas de óleos essenciais,Aqueous distillates arom./aqueous solut.of essent.oils,Destilados aromát.y disol.acuosa de aceites esenciales,"Eau distilée aromatisée, et solution aqueuse d'huiles essentielles"
33019040,Oleorresinas de extração,Extracted oleoresins,Oleorresinas de extracción,Oléorésines d'extraction
33021000,Misturas utilizadas em materia básica para indústria alimentar/de bebida,Mixtures used basic matter forfood or drink industries,Mezclas util.materia básica p/ind.alimentaria/de bebida,Les mélanges utilisés dans le matériau de base pour l'industrie alimentaire et des boissons
33029011,Vetiverol para perfumaria,Vetiverol for perfumery,Vetiverol para perfumería,Vétivérol pour la parfumerie
33029019,Outras misturas utilizadas como materia básica para perfumaria,Other mixtures used as basic matter forperfumery,Las dem.mezclas utiliz.como materia básica p/perfumería,D'autres mélanges utilisés comme matières premières pour la parfumerie
33029090,Outras misturas utilizadas como materia básica para indústria,Other mixtures used as basic matter forindustry,Las dem.mezclas utiliz.como materia básica p/industria,D'autres mélanges utilisés comme matières premières pour l'industrie
33030010,Perfumes (extratos),Perfumes (extracts),Perfumes (extractos),Parfums (extraits)
33030020,Águas-de-colônia,Cologne water,Agua de tocador,Eau de Cologne
33041000,Produtos de maquiagem para os lábios,Lip make-up preparations,Preparaciones para el maquillaje de los labios,Produits de maquillage pour les lèvres
33042010,"Sombra, delineador, lápis para sobrancelhas e rímel (produtos de maquiagem para os olhos)","Eyeshadow, liner, pencil forbrows and mascara","Sombra, delineador, lápices para cejas y máscara","Ombre, eye-liner, crayon à sourcils et le mascara"
33042090,Outros produtos de maquiagem para os olhos,Other product of eye make-up,Las demás preparaciones para el maquillaje de los ojos,Autres produits de maquillage pour les yeux
33043000,Preparações para manicuros e pedicuros,Manicure or pedicure preparations,Preparaciones para manicuras y pedicuros,Préparations pour manucure ou de pédicure
33049100,"Pós, incluídos os compactos, para maquiagem","Powders, whether or not compressed, for make-up","Polvos, incluidos los compactos, para maquillaje","Poudres, si oui ou non compressé, pour le maquillage"
33049910,Cremes de beleza e cremes nutritivos; loções tônicas,"Creams of beauty, nutritious creams and tonic lotions","Cremas de belleza, cremas nutritivas y lociones tónicas","Crèmes de beauté, crèmes nourrissantes et lotions toniques"
33049990,"Outros produtos de beleza ou de maquiagem preparados, etc","Other products  of beauty or make-up preparations, etc","Las dem.prep.de belleza o de maquillaje preparadas, etc","Autres produits de beauté ou de maquillage préparés, etc."
33051000,Xampus para os cabelos,Shampoos for hair,Champúes para el cabello,Les shampoings pour les cheveux
33052000,"Preparações para ondulação ou alisamento, permanentes, dos cabelos","Preparations for permanent waving/straightening, of hair","Prepars.p/ondulación/desrizado/permanente, de cabellos","Préparations pour onduler/dressage/cheveux permanente, cheveux"
33053000,Laquês para o cabelo,Hair lacquers,Lacas para el cabello,Lâchés pour les cheveux
33059000,Outras preparações capilares,Other preparations for use on the hair,Las demás preparaciones capilares,Autres produits capillaires
33061000,Dentifrícios,Dentifrices,Dentífricos,Dentifrices
33062000,Fios utilizados para limpar os espaços interdentais (fios dentais),Yarn used to clean between the teeth (dental floss),Hilo utiliz.p/limpiez.de espacios interdent(hilo dent.),Fils utilisés pour nettoyer les espaces interdentaires (fils dentaires)
33069000,"Outras preparações para higiene bucal ou dentária, etc.","Other preparations for oral or dental hygiene, etc.","Las dem.preparaciones para higiene bucal o dental, etc.","Autres préparations pour l'hygiène buccale ou dentaire, etc."
33071000,"Preparações para barbear (antes, durante ou após)","Pre-shave, shaving or after-shave preparations",Preparaciones para afeitar(p/antes o después del afeit),"Produits de rasage (avant, pendant ou après)"
33072010,"Desodorantes (desodorizantes) corporais e antiperspirantes, líquidos","Personal deodorants and antiperspirants, liquid","Desodorantes corporales y antitranspirantes,  líquidos","Déodorants et antisudorifiques personnels, liquide"
33072090,"Desodorantes (desodorizantes) corporais e antiperspirantes, em outras formas",Other personal deodorants and antiperspirants,Los dem.desodorantes corporales y antitranspirantes,Autres déodorants et antisudorifiques
33073000,Sais perfumados e outras preparações para banhos,Perfumed bath salts and other bath preparations,Sales perfumadas y demás preparaciones para el baño,Sels de bain parfumés et autres préparations pour le bain
33074100,Agarbate e outras preparações odoriferas que atuem por combustão,"Agarbatti, oth.odoriferous prepar.which operat.b/burning",Agarbatti y dem.prepar.odoríferas q actúan p/combustión,Agarbatti et autres préparations odoriférantes agissant par combustion
33074900,Outras preparações para perfumar ou desodorizar ambientes,Other prep.for perfuming/deodorizing ambient,Los dem.preparaciones p/perfumar o desodorizar locales,Autres préparations pour parfumer ou pour désodoriser les locaux
33079000,"Outros produtos de perfumaria ou toucador, preparados, etc.","Oth.prods.of perfumery or dressing table, prepared, etc","Los demás prods.de perfumería o tocador, preparados, etc.","D'autres produits de parfumerie ou de toilette, préparé, etc."
34011110,"Sabões medicinais, em barras, pedaços, figura moldada, etc.","Medicinal soaps, in bars, pieces, moulded illustration, etc","Jabones medicin., en barras, trozos, pieza moldeada, etc.","Savon pour la médecine, des bars, des pièces, figure moulée, etc."
34011190,"Outros produtos/preparações de toucador, em barras, pedaços, etc.","Other prods/prep.dressing table, in bars, pieces, etc","Los dem.prods/prepars.de tocador, en barras, trozos, etc.","Autres produits/produits de toilette, dans les bars, morceaux, etc."
34011900,"Outros sabões/produtos/preparações, em barras, pedaços, etc.","Other soaps, prods/preparations, in bars, pieces, etc","Los dem.jabones/prods/prepars., en barras, trozos, etc.","Autres savons/produits/préparations, dans les bars, morceaux, etc."
34012010,"Sabões de toucador, sob outras formas","Soap of dressing table, in other forms","Jabones de tocador, en otras formas",Savon de toilette sous d'autres formes
34012090,Outros sabões,Other soaps,Otros jabones,D'autres savons
34013000,"Produtos e preparações organânicas tensoativos, para lavar pele",Organic surface-active prods/prepar.forwashing the skin,"Prods.y prepars.orgán.tensoactivos, p/lavado de la piel",Produits et préparations de surfactant organânicas destinés au lavage de la peau
34021110,Dibutilnaftalenossulfato de sódio (agente orgânico de superfície),Sodium dibutylnaphthalenesulphonate(org.surf.act.agen.),Dibutilnaftalensulfato de sodio(agente de superf.orgán),Dibutilnaftalenossulfato sodium (agent de surface organique)
